date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:34	35807/35807	---M-Z	200	added ('OK')	text/html	etag:%2220003a0b556d092de8edc332a359d955-ssl-df%22	http://moya.bitballoon.com/index-circular.html	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/index-circular.html	(from )
14:27:36	96/96	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/robots.txt		(from )
14:27:36	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225e89efc715e3b4551e9dd664afa9bdf3-ssl%22	http://moya.bitballoon.com/images/favicon.ico	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/favicon.ico	(from http://moya.bitballoon.com/index-circular.html)
14:27:36	146010/146010	---M-Z	200	added ('OK')	text/css	etag:%22e3ac81d397caa959571140c3bec3d7e7-ssl-df%22	http://moya.bitballoon.com/css/bootstrap.css	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/css/bootstrap.css	(from http://moya.bitballoon.com/index-circular.html)
14:27:37	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%22b433b9755ce3837c688b068668ed411f-ssl-df%22	http://moya.bitballoon.com/css/font-awesome.min.css	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/css/font-awesome.min.css	(from http://moya.bitballoon.com/index-circular.html)
14:27:37	11763/11763	---M-Z	200	added ('OK')	text/css	etag:%22c420461ba36a7cb802223927d9f3c6cf-ssl-df%22	http://moya.bitballoon.com/css/flaticon.css	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/css/flaticon.css	(from http://moya.bitballoon.com/index-circular.html)
14:27:37	49744/49744	---M-Z	200	added ('OK')	text/css	etag:%2277ec5db9ffb47763904771201be22661-ssl-df%22	http://moya.bitballoon.com/css/style.css	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/css/style.css	(from http://moya.bitballoon.com/index-circular.html)
14:27:39	105/105	---M-Z	404	error ('Not%20Found')	text/html	etag:1506756079-ssl-df	http://moya.bitballoon.com/cv/cv-1.pdf	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/cv/cv-1.8.delayed	(from http://moya.bitballoon.com/index-circular.html)
14:27:40	43330/43330	---M--	200	added ('OK')	image/jpeg	etag:%22b5c90b19291d36f56af82f878f9610c7-ssl%22	http://moya.bitballoon.com/images/me.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/me.jpg	(from http://moya.bitballoon.com/index-circular.html)
14:27:44	20313/20313	---M--	200	added ('OK')	image/jpeg	etag:%22f158c8d4286a15eea948ca093afe712d-ssl%22	http://moya.bitballoon.com/images/portfolio/work-2.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/portfolio/work-2.jpg	(from http://moya.bitballoon.com/index-circular.html)
14:27:48	43193/43193	---M--	200	added ('OK')	image/jpeg	etag:%22b24997535fdff1e8563a55ee05041cda-ssl%22	http://moya.bitballoon.com/images/portfolio/work-3.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/portfolio/work-3.jpg	(from http://moya.bitballoon.com/index-circular.html)
14:27:48	54518/54518	---M--	200	added ('OK')	image/jpeg	etag:%229b5f44a3e911ad8c4b3a09a1fded8dcc-ssl%22	http://moya.bitballoon.com/images/portfolio/work-1.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/portfolio/work-1.jpg	(from http://moya.bitballoon.com/index-circular.html)
14:27:51	43943/43943	---M--	200	added ('OK')	image/jpeg	etag:%22239d56b2b872f65adbd53856cf2d1f22-ssl%22	http://moya.bitballoon.com/images/portfolio/work-4.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/portfolio/work-4.jpg	(from http://moya.bitballoon.com/index-circular.html)
14:27:53	6277/6277	---M--	200	added ('OK')	image/jpeg	etag:%221b53900ceeea2e86d0a3a6c51fa5f4c9-ssl%22	http://moya.bitballoon.com/images/testimonials/author-thumb-1.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/testimonials/author-thumb-1.jpg	(from http://moya.bitballoon.com/index-circular.html)
14:27:54	6347/6347	---M--	200	added ('OK')	image/jpeg	etag:%22da162aa8b84d4b734eb0447dfc453dea-ssl%22	http://moya.bitballoon.com/images/testimonials/author-thumb-2.jpg	C:/Users/Dell/Desktop/Portfolio/Portfolio16/moya.bitballoon.com/images/testimonials/author-thumb-2.jpg	(from http://moya.bitballoon.com/index-circular.html)
